Gene,log2FC,pvalue,FDR
LOC120099245,-2.912086018,3.13E-31,1.30E-30
LOC120099247,2.029908418,0.00278775,0.004265687
LOC120099251,-1.809273924,1.03E-18,3.10E-18
LOC120099257,2.3908426,2.73E-09,5.90E-09
LOC120099260,-1.81722658,1.99E-07,3.97E-07
LOC120099262,2.230464412,0.006170599,0.009145383
LOC120099266,3.191000389,2.69E-60,2.05E-59
LOC120099268,2.65791813,4.33E-11,1.01E-10
LOC120099276,0.641397451,0.003601041,0.00546044
LOC120099280,5.394330033,1.06E-35,4.89E-35
LOC120099281,-2.456099528,0.000800081,0.001279784
LOC120099284,5.602386124,3.59E-39,1.79E-38
Cdr1,-2.50216732,3.03E-08,6.28E-08
LOC120099308,-1.362378956,0.003938496,0.005950486
LOC120099320,5.661987318,1.68E-35,7.71E-35
LOC120099335,0.877161068,0.010351476,0.014996967
LOC120099344,4.162378096,1.16E-15,3.19E-15
LOC120099348,2.415327563,0.00231949,0.003569672
LOC120099352,3.14499019,5.75E-15,1.54E-14
LOC120099353,1.984484259,1.49E-06,2.83E-06
LOC120099354,3.269559804,2.14E-10,4.85E-10
LOC120099355,-1.048245021,0.005336781,0.007953019
LOC120099356,1.834234458,7.77E-06,1.42E-05
LOC120099364,1.184763395,4.73E-10,1.05E-09
LOC120099365,-2.299435811,4.26E-26,1.56E-25
LOC120099366,3.569731938,1.11E-21,3.62E-21
LOC120099368,2.059781746,0.0224473,0.031484967
LOC120099372,4.124692039,4.69E-116,8.10E-115
LOC120099377,-1.038624744,4.41E-09,9.44E-09
LOC120099378,-1.372692493,5.80E-08,1.18E-07
LOC120099381,4.872226163,1.19E-35,5.46E-35
LOC120099382,0.977383055,4.75E-18,1.41E-17
LOC120099387,-0.782153966,0.002289189,0.003525239
LOC120099411,1.548129719,0.00018906,0.000316337
LOC120099415,-1.392082181,0.049634857,0.066876058
LOC120099440,-2.072361146,0.000129658,0.000219302
LOC120099453,2.55020306,3.64E-05,6.39E-05
LOC120099454,0.663348592,4.35E-07,8.52E-07
LOC120099462,1.260517618,9.97E-05,0.000170042
LOC120099474,2.108201009,0.013985926,0.020030966
LOC120099525,-1.493413573,0.001264541,0.001989903
LOC120099530,3.24729046,4.32E-06,8.03E-06
LOC120099576,1.337502024,0.00063322,0.001020437
LOC120099620,-3.491151916,5.01E-15,1.35E-14
LOC120099623,1.741224337,0.000368884,0.000604535
LOC120099626,-2.0980566,0.003625017,0.005494543
LOC120099687,1.061495643,0.006589871,0.009734595
LOC120099692,-1.683637484,0.001216227,0.001915812
LOC120099695,1.715465111,1.63E-13,4.17E-13
LOC120099725,2.646201869,0.002220131,0.003422813
Znf8,-0.358073056,2.19E-08,4.55E-08
LOC120099769,-1.888620567,4.40E-05,7.68E-05
LOC120099773,-4.68230258,1.67E-15,4.55E-15
LOC120099776,-0.84213587,1.38E-08,2.91E-08
LOC120099777,-2.520660873,7.08E-06,1.30E-05
LOC120099778,4.513064935,1.43E-09,3.12E-09
LOC120099779,6.138957407,4.46E-32,1.89E-31
LOC120099780,-1.256438242,0.019421885,0.027433968
LOC120099781,-1.483194448,1.75E-19,5.39E-19
LOC120099782,-2.976723319,1.43E-50,9.02E-50
LOC120099784,4.644053515,1.11E-169,3.37E-168
LOC120099792,2.202804836,0.000390908,0.00063951
LOC120099793,-3.25514814,7.23E-18,2.13E-17
LOC120099794,-0.677355515,0.000218725,0.000364221
LOC120099798,-0.573662708,1.63E-05,2.92E-05
LOC120099799,-1.827692074,2.19E-18,6.54E-18
LOC120099800,5.08319322,5.35E-31,2.21E-30
LOC120099802,3.548640537,1.38E-45,7.91E-45
LOC120099803,-1.034958893,0.003998336,0.006034424
LOC120099804,1.617442679,3.13E-09,6.75E-09
LOC120099807,-1.305301459,0.041380099,0.056258679
LOC120099810,-2.229569965,1.86E-06,3.52E-06
LOC120099820,-1.637540596,0.000215109,0.000358402
LOC120099837,6.474894078,4.24E-71,3.90E-70
LOC120099840,-2.9481667,3.67E-11,8.57E-11
LOC120099841,7.814355082,6.85E-91,8.34E-90
LOC120099844,-3.311756582,2.06E-54,1.40E-53
LOC120099845,6.660827374,1.90E-49,1.18E-48
LOC120099850,-2.841298246,2.09E-06,3.95E-06
LOC120099853,2.698772843,1.50E-05,2.70E-05
LOC120099854,2.468859383,1.65E-26,6.09E-26
LOC120099855,1.219117464,0.005087076,0.007597357
LOC120099857,0.820923538,0.002277688,0.003508075
LOC120099865,0.693030548,1.23E-09,2.70E-09
LOC120099867,-2.780312035,8.13E-18,2.39E-17
LOC120099868,-1.236405249,0.012369541,0.017803858
LOC120099870,-2.065506541,1.13E-43,6.25E-43
LOC120099877,-0.697113592,1.38E-05,2.49E-05
LOC120099878,-2.460418997,1.89E-17,5.48E-17
LOC120099880,2.35637873,1.97E-47,1.18E-46
LOC120099883,-2.75305805,7.99E-49,4.90E-48
LOC120099884,-1.739966714,0.013086182,0.018791457
LOC120099887,-1.621963486,1.21E-07,2.43E-07
LOC120099888,1.696353916,0.003128234,0.004764992
LOC120099889,-3.217802889,7.56E-42,3.99E-41
LOC120099890,-3.16263037,2.07E-30,8.41E-30
LOC120099891,-0.870502077,0.010198511,0.014790805
LOC120099893,-1.117349855,0.000112294,0.000190859
LOC120099894,-1.710507587,1.22E-07,2.44E-07
LOC120099895,-0.543184602,3.81E-06,7.10E-06
Arhgef17,-2.245767722,9.48E-45,5.35E-44
LOC120099897,0.765754118,0.000496851,0.0008063
LOC120099898,2.421877232,0.00621468,0.009207948
LOC120099906,-4.01515148,1.14E-69,1.02E-68
LOC120099911,0.85655611,0.001210583,0.001907632
LOC120099912,-1.066489624,0.032077494,0.044231208
LOC120099913,-2.211268472,2.76E-12,6.73E-12
LOC120099916,2.899239819,1.65E-32,7.09E-32
LOC120099920,-0.671423029,7.04E-06,1.29E-05
LOC120099923,2.351202866,1.58E-12,3.88E-12
LOC120099926,2.705157577,8.24E-08,1.67E-07
LOC120099927,7.516572077,1.03E-121,1.91E-120
LOC120099928,1.517071723,1.03E-12,2.55E-12
LOC120099929,1.931747034,0.002204447,0.003399696
LOC120099930,-7.105845239,1.26E-153,3.27E-152
LOC120099932,1.036099148,6.25E-16,1.73E-15
LOC120099934,-0.770214642,0.002455633,0.003773893
LOC120099938,3.021358355,3.58E-51,2.29E-50
LOC120099939,2.924513459,4.72E-13,1.18E-12
LOC120099940,2.722812084,2.35E-06,4.42E-06
LOC120099941,-1.93004299,0.002226597,0.003432424
LOC120099944,-1.547236138,1.96E-06,3.71E-06
LOC120099947,3.882142381,8.44E-59,6.24E-58
LOC120099948,-1.618204865,0.000188261,0.000315053
LOC120099953,-4.988067586,3.38E-82,3.67E-81
LOC120099955,4.555898234,8.28E-13,2.06E-12
LOC120099958,-3.519107691,2.11E-11,4.97E-11
LOC120099960,-3.136104691,1.91E-48,1.16E-47
LOC120099961,-1.36268287,1.12E-15,3.08E-15
LOC120099967,-1.532940675,1.96E-26,7.25E-26
LOC120099973,-0.58099344,0.032030411,0.044170404
LOC120099978,-0.827755078,8.36E-07,1.61E-06
LOC120099979,-1.700458641,1.23E-05,2.23E-05
LOC120099981,1.704961638,9.46E-14,2.44E-13
LOC120099982,-2.951684922,1.71E-09,3.73E-09
LOC120099984,1.681164506,2.16E-10,4.90E-10
LOC120099986,-2.131206354,0.000163156,0.000274126
LOC120099987,-3.857417678,2.58E-26,9.49E-26
LOC120099988,2.667282437,2.85E-25,1.02E-24
LOC120099990,-1.669515145,4.28E-08,8.79E-08
LOC120099991,2.118117888,0.004235576,0.006377832
LOC120099992,-0.896388312,0.014943195,0.021355464
LOC120099993,0.491506697,0.040537115,0.055178523
LOC120099996,0.852464626,0.000418778,0.000683501
LOC120099998,2.482929401,3.92E-15,1.06E-14
LOC120100000,-0.69828802,0.008433041,0.012323195
LOC120100001,2.650439131,3.71E-38,1.81E-37
LOC120100002,-1.345269923,9.03E-09,1.91E-08
LOC120100003,-1.350798212,0.000514913,0.000834329
LOC120100005,3.53363579,8.63E-17,2.46E-16
LOC120100006,-4.975798673,1.39E-38,6.84E-38
LOC120100007,-2.283001177,8.32E-05,0.000142795
LOC120100012,-1.834435471,0.003621817,0.005489975
LOC120100014,-1.758035036,4.46E-30,1.80E-29
LOC120100015,2.128441862,3.65E-11,8.52E-11
LOC120100018,1.672512444,1.32E-06,2.53E-06
LOC120100019,2.28025185,3.11E-07,6.14E-07
LOC120100022,3.960181167,1.64E-27,6.23E-27
LOC120100024,-3.884029476,1.95E-91,2.40E-90
LOC120100025,-1.259941012,0.00025252,0.000418589
LOC120100035,1.560762192,3.58E-10,8.03E-10
LOC120100036,4.237588113,3.84E-14,1.00E-13
LOC120100038,2.826087643,6.40E-22,2.10E-21
LOC120100041,-2.581569273,2.42E-14,6.35E-14
LOC120100042,5.864323535,6.49E-07,1.26E-06
LOC120100043,-1.194869145,5.33E-14,1.38E-13
LOC120100045,0.851217867,0.000497219,0.000806852
C1H10orf95,-1.196403701,1.52E-08,3.19E-08
LOC120100048,-0.803285094,1.06E-09,2.33E-09
LOC120100049,1.842132053,8.75E-08,1.77E-07
LOC120100050,4.710449301,6.65E-23,2.24E-22
LOC120100055,-0.764703322,0.000502695,0.000815024
LOC120100056,-1.383127782,0.007408934,0.010891226
LOC120100058,1.800201161,5.40E-12,1.30E-11
LOC120100061,-2.614142624,1.94E-25,6.98E-25
LOC120100064,-1.890714656,0.001472298,0.002305428
LOC120100065,1.705739216,8.08E-15,2.16E-14
LOC120100066,-4.375513792,2.05E-41,1.07E-40
LOC120100068,-3.055239231,1.86E-11,4.40E-11
LOC120100079,-1.434484138,1.42E-06,2.70E-06
LOC120100083,2.272236534,0.000447691,0.000729162
LOC120100086,-1.896480652,2.25E-15,6.13E-15
LOC120100087,-1.536703211,2.64E-10,5.97E-10
LOC120100089,-1.700844225,9.49E-07,1.82E-06
LOC120100090,-1.942410891,4.12E-13,1.03E-12
LOC120100091,-1.275953554,0.013704057,0.019637724
LOC120100094,-4.684325638,1.17E-35,5.38E-35
LOC120100095,-1.986738324,4.40E-06,8.17E-06
LOC120100097,1.502196224,0.000476611,0.000774601
LOC120100103,-1.169738482,0.000466894,0.000759602
LOC120100106,-3.445366825,2.20E-79,2.30E-78
LOC120100113,4.431484619,6.03E-18,1.78E-17
LOC120100120,0.90533056,0.005880265,0.008731704
LOC120100137,2.191198862,0.000118398,0.000200889
LOC120100140,6.8177404,1.54E-30,6.29E-30
LOC120100150,-1.288387007,0.0026215,0.004020241
LOC120100176,2.847072557,2.35E-07,4.67E-07
LOC120100182,-0.641445521,0.000152478,0.000256667
LOC120100224,-1.187907976,8.49E-06,1.55E-05
LOC120100225,0.642129141,0.005061375,0.007559737
LOC120100226,0.73590984,0.012801169,0.018396473
LOC120100227,1.121795684,6.42E-07,1.25E-06
LOC120100228,1.692508484,8.95E-20,2.77E-19
LOC120100229,1.546225021,2.52E-07,4.99E-07
LOC120100230,2.50478241,3.05E-08,6.32E-08
LOC120100231,1.47758656,1.29E-12,3.18E-12
LOC120100232,1.59735137,8.51E-14,2.20E-13
LOC120100233,1.195701639,6.82E-16,1.88E-15
LOC120100322,-1.27331137,0.037541376,0.051353589
LOC120100338,0.833230102,0.00641567,0.009488162
LOC120100339,0.844101738,2.33E-05,4.15E-05
LOC120100344,1.608727243,5.29E-16,1.47E-15
LOC120100346,3.427455708,3.28E-82,3.56E-81
LOC120100347,0.55021301,0.001403466,0.002201608
LOC120100348,1.020820337,0.000705461,0.001133026
LOC120100352,0.783213259,3.97E-06,7.39E-06
LOC120100353,0.639750938,0.000662346,0.001066096
LOC120100363,1.803257531,0.000342246,0.000562125
LOC120100365,2.216047451,1.63E-05,2.94E-05
LOC120100379,2.679059826,0.000122314,0.000207307
LOC120100391,2.365829247,5.57E-06,1.03E-05
LOC120100393,1.613123357,3.25E-17,9.38E-17
LOC120100405,3.99689593,1.21E-13,3.12E-13
LOC120100407,2.037159768,0.007859437,0.011525407
LOC120100409,-2.402738692,6.46E-34,2.86E-33
LOC120100461,0.962197581,6.34E-07,1.23E-06
LOC120100467,-0.425118974,0.006420083,0.009493264
LOC120100472,-1.098658673,5.20E-08,1.06E-07
LOC120100476,1.847289302,2.20E-10,4.98E-10
LOC120100477,-1.807845527,0.000506517,0.000821085
LOC120100488,0.506440543,0.013495324,0.01934986
LOC120100492,1.963946127,0.013202418,0.01895101
Trnap-cgg,2.150262123,2.12E-05,3.78E-05
Trnas-aga,-1.498945149,0.047247568,0.063810639
LOC120100542,1.298274025,1.14E-36,5.38E-36
LOC120100551,4.040299192,3.55E-12,8.62E-12
LOC120100581,1.327125946,0.019449238,0.027469983
LOC120100587,-3.672459082,6.33E-18,1.86E-17
LOC120100590,-3.878115181,8.76E-05,0.000150077
LOC120100592,-2.187019097,2.18E-09,4.74E-09
LOC120100615,-1.744400459,0.003636212,0.005510665
LOC120100630,2.341655802,0.019553797,0.02761107
LOC120100636,1.193843901,0.020930811,0.029447266
LOC120100640,0.570569363,0.001736784,0.002704283
LOC120100647,0.891699807,4.35E-08,8.94E-08
LOC120100648,1.112037636,6.10E-13,1.52E-12
LOC120100650,3.272039512,4.63E-26,1.69E-25
LOC120100653,1.239642515,0.03553258,0.048740939
LOC120100660,-2.786530907,1.51E-49,9.36E-49
LOC120100663,7.306927457,2.34E-117,4.10E-116
LOC120100664,1.515708933,0.00101212,0.001605757
LOC120100665,-2.311723123,4.91E-11,1.14E-10
LOC120100667,2.736655594,1.17E-05,2.12E-05
LOC120100672,1.522634084,5.90E-08,1.20E-07
Gcnt4,0.877590877,8.00E-08,1.62E-07
LOC120100679,-1.232200163,1.21E-07,2.44E-07
LOC120100680,-2.345520213,6.15E-06,1.13E-05
LOC120100685,3.991213517,4.51E-12,1.09E-11
LOC120100687,-1.084687207,1.17E-41,6.18E-41
LOC120100690,5.852812285,1.13E-53,7.59E-53
LOC120100692,-1.775192357,0.000100334,0.000171151
LOC120100693,-3.194371388,1.03E-19,3.18E-19
LOC120100694,4.086251125,8.28E-32,3.48E-31
LOC120100695,-0.513072002,0.001083378,0.00171403
Lrrc70,1.332615687,2.86E-22,9.48E-22
LOC120100698,-2.534561359,3.64E-09,7.83E-09
LOC120100699,-1.821271486,2.84E-16,7.93E-16
LOC120100701,1.76743039,0.000364214,0.000597046
LOC120100702,-1.322793638,0.000935742,0.001488173
LOC120100708,-1.424031293,0.008477696,0.012386002
LOC120100709,-1.239441556,0.013776966,0.019738377
LOC120100710,-0.990556652,0.025406513,0.035437354
LOC120100712,-1.266217546,1.14E-05,2.07E-05
LOC120100713,7.561652036,7.52E-76,7.46E-75
LOC120100714,6.408920814,2.51E-48,1.53E-47
LOC120100715,8.23807639,2.60E-74,2.52E-73
LOC120100717,-2.730442986,1.01E-26,3.77E-26
LOC120100722,1.595355847,7.72E-12,1.85E-11
LOC120100723,1.085674615,0.010237717,0.014844515
LOC120100725,0.850818412,9.33E-05,0.000159495
LOC120100727,1.332514879,0.000272154,0.000450201
LOC120100733,1.768074949,0.000109761,0.000186651
LOC120100734,1.049873034,0.00789463,0.011575295
LOC120100735,-0.460751613,0.00527718,0.007869749
LOC120100736,1.049700696,0.004708313,0.007056983
LOC120100737,-1.242747675,0.002511041,0.003856642
LOC120100740,-1.930555285,0.000429249,0.000699895
LOC120100741,-2.604532945,1.62E-14,4.28E-14
LOC120100749,2.071228808,0.016589245,0.023600684
LOC120100751,-1.533456669,0.032878341,0.045280612
LOC120100754,1.504398799,0.020321579,0.028639177
LOC120100755,4.001610777,7.14E-24,2.46E-23
LOC120100757,2.050541907,1.41E-42,7.59E-42
LOC120100762,-0.717888826,0.00051852,0.00083999
LOC120100763,5.610100418,9.94E-66,8.34E-65
LOC120100768,0.74625072,0.042969259,0.058320069
LOC120100773,-2.960628665,2.39E-23,8.13E-23
LOC120100779,-0.956750759,0.001197182,0.001887119
LOC120100780,-0.624538479,0.000705114,0.001132592
LOC120100781,2.935413513,3.94E-05,6.91E-05
LOC120100784,-0.385306704,0.007771626,0.011400029
LOC120100786,3.231446988,2.42E-09,5.24E-09
LOC120100788,-1.575542263,8.23E-12,1.97E-11
LOC120100790,-1.117644819,0.007735424,0.01134805
LOC120100792,-1.589479897,0.000121325,0.000205677
LOC120100794,7.096310942,3.32E-62,2.61E-61
LOC120100797,-2.041850778,9.90E-05,0.000168968
LOC120100803,-4.270864288,5.45E-31,2.25E-30
LOC120100805,-0.932321538,1.56E-06,2.96E-06
LOC120100808,-3.345684948,1.69E-21,5.47E-21
LOC120100809,6.486205702,6.12E-92,7.63E-91
LOC120100810,5.544091883,1.92E-34,8.62E-34
LOC120100812,-1.97637359,0.016648968,0.023683372
LOC120100817,-1.153084794,0.000540755,0.000875196
LOC120100819,1.800625087,2.95E-07,5.82E-07
LOC120100822,-1.730714784,0.004053661,0.006113245
LOC120100823,-2.361306541,2.57E-05,4.57E-05
LOC120100826,-3.962306933,4.67E-24,1.62E-23
LOC120100830,-1.918744285,2.46E-11,5.79E-11
LOC120100831,-0.367427745,0.049252587,0.06639729
LOC120100833,-1.292081647,3.36E-10,7.54E-10
LOC120100842,3.528150302,1.30E-12,3.21E-12
LOC120100847,-3.10773016,8.59E-15,2.29E-14
LOC120100852,-0.560895501,2.41E-05,4.28E-05
LOC120100856,-1.57045865,8.42E-13,2.09E-12
LOC120100857,2.822461446,4.80E-09,1.03E-08
LOC120100858,5.151258955,5.40E-97,7.23E-96
LOC120100860,1.674596796,0.000157229,0.000264453
LOC120100862,-1.312080385,1.11E-12,2.73E-12
LOC120100863,-1.762958031,7.45E-09,1.58E-08
LOC120100864,-1.679188168,0.000369463,0.000605417
LOC120100865,-2.050319643,2.04E-06,3.85E-06
LOC120100866,-1.168019772,0.023963295,0.033514401
LOC120100867,8.507836816,7.09E-81,7.54E-80
LOC120100871,-2.352937323,8.78E-09,1.86E-08
LOC120100872,-1.217178182,0.04231813,0.057486434
LOC120100873,0.373287664,0.003963512,0.005985888
LOC120100874,1.382183539,6.21E-09,1.32E-08
LOC120100875,-0.667103346,3.27E-05,5.75E-05
LOC120100876,-0.615659577,0.000372918,0.000610943
LOC120100877,-1.495446221,3.00E-07,5.93E-07
LOC120100878,-1.632887798,3.72E-11,8.69E-11
LOC120100881,1.041544353,2.65E-06,4.98E-06
LOC120100886,-1.13244278,3.30E-13,8.34E-13
LOC120100887,-1.522776796,2.04E-21,6.60E-21
LOC120100889,-3.647493955,4.36E-19,1.32E-18
LOC120100890,3.986170106,1.65E-48,1.01E-47
LOC120100891,-2.861607871,9.88E-10,2.18E-09
LOC120100892,-2.104373322,8.80E-05,0.000150742
LOC120100898,-0.860934044,0.001169486,0.001844739
LOC120100902,5.153860346,4.13E-97,5.54E-96
LOC120100903,0.497264909,0.000894224,0.001425068
LOC120100907,-4.586118473,4.19E-58,3.05E-57
LOC120100912,6.664597888,2.51E-80,2.65E-79
LOC120100915,-0.604241325,0.004550146,0.006832031
LOC120100916,1.295854967,3.19E-06,5.97E-06
LOC120100917,4.948872255,2.11E-21,6.79E-21
LOC120100918,-2.857497902,1.73E-69,1.55E-68
LOC120100921,3.336173475,0.00225279,0.003471355
LOC120100924,-2.61763769,3.54E-06,6.61E-06
LOC120100927,3.175619418,0.001790095,0.002783756
LOC120100935,-0.517835668,0.022774684,0.031918435
LOC120100937,-6.355657255,3.82E-71,3.51E-70
LOC120100938,-3.063008676,8.80E-27,3.27E-26
LOC120100942,-2.092078106,1.61E-08,3.37E-08
LOC120100946,0.538329041,0.010369941,0.015022248
LOC120100947,-1.540269087,0.001027405,0.001628436
LOC120100950,1.836644181,1.22E-09,2.68E-09
LOC120100951,2.841575103,3.79E-54,2.56E-53
LOC120100952,1.131033095,3.18E-06,5.95E-06
LOC120100954,1.376622715,0.044270414,0.059976
LOC120100955,-0.935985321,1.55E-05,2.79E-05
LOC120100957,-3.238187604,5.83E-13,1.46E-12
LOC120100961,2.381834228,0.000171664,0.000288011
LOC120100962,0.734640468,0.00018778,0.000314284
LOC120100963,-1.846683354,1.92E-11,4.53E-11
LOC120100965,-0.81160663,0.003492725,0.005302447
LOC120100966,2.765282424,1.41E-05,2.54E-05
LOC120100972,-1.142097478,0.001991924,0.003083677
LOC120100976,1.75077528,0.024754478,0.034570264
LOC120100977,-3.191410808,8.92E-16,2.46E-15
LOC120100978,4.670209411,1.06E-15,2.91E-15
LOC120101003,-1.463258779,0.000247166,0.000410035
LOC120101011,-1.75776205,0.006366879,0.009418359
LOC120101027,-4.907840041,2.79E-31,1.16E-30
LOC120101048,-3.239783743,2.20E-50,1.39E-49
LOC120101049,1.532186399,6.53E-05,0.000112895
LOC120101053,-2.148048491,2.31E-07,4.59E-07
LOC120101060,-1.718087272,0.000811201,0.0012968
LOC120101061,-2.34803279,1.73E-21,5.61E-21
LOC120101062,-1.657000143,6.68E-13,1.67E-12
LOC120101069,-1.379340918,0.00028821,0.000475698
LOC120101070,-3.674158249,3.21E-30,1.30E-29
Shld3,1.235437965,4.06E-31,1.68E-30
LOC120101091,-1.173236159,1.34E-16,3.79E-16
LOC120101095,2.325731752,1.35E-05,2.45E-05
LOC120101096,-3.198397271,3.93E-15,1.06E-14
LOC120101099,3.583210961,3.39E-21,1.09E-20
LOC120101101,-2.294159843,7.15E-12,1.72E-11
LOC120101103,-1.955031713,4.43E-05,7.73E-05
LOC120101111,-4.897232572,1.20E-43,6.62E-43
LOC120101126,-1.595601766,6.46E-08,1.31E-07
LOC120101131,-2.507656475,2.51E-08,5.21E-08
LOC120101134,5.537185828,1.92E-24,6.73E-24
LOC120101153,-1.630910288,0.00994758,0.014442933
LOC120101177,0.803661397,0.02527817,0.03526998
LOC120101179,-1.135056405,5.01E-05,8.72E-05
LOC120101212,-2.432747461,1.14E-05,2.06E-05
LOC120101224,1.214359374,0.000149709,0.000252205
LOC120101229,1.917098784,0.026850437,0.037338692
LOC120101233,1.53391312,5.43E-09,1.16E-08
LOC120101234,0.435167385,0.001058574,0.001676401
LOC120101235,0.949739502,8.78E-07,1.69E-06
LOC120101240,0.481453764,0.011968779,0.017248008
LOC120101255,1.967323651,1.07E-07,2.15E-07
LOC120101260,0.941422718,0.000983181,0.001561101
LOC120101327,5.062781221,1.73E-20,5.46E-20
LOC120101355,1.926697561,0.000775909,0.001241992
LOC120101363,0.856410791,1.76E-08,3.68E-08
LOC120101370,-2.900856291,3.58E-34,1.60E-33
LOC120101374,2.937690044,6.57E-45,3.72E-44
LOC120101430,2.351672145,0.018295322,0.02591195
LOC120101446,4.325786868,4.23E-11,9.86E-11
LOC120101453,-2.019696725,9.19E-05,0.000157246
LOC120101460,1.381588352,3.03E-06,5.67E-06
LOC120101471,1.519957129,0.001964143,0.003043218
LOC120101482,-1.941722926,0.001967873,0.003048678
LOC120101485,-1.74951926,3.76E-09,8.08E-09
LOC120101486,0.986038517,5.34E-05,9.29E-05
LOC120101490,2.140539191,0.006686487,0.009869925
LOC120101492,-0.883151571,2.43E-05,4.31E-05
LOC120101503,-2.375863404,7.29E-05,0.000125529
LOC120101509,7.868770668,1.69E-97,2.28E-96
LOC120101511,1.237346557,6.62E-13,1.65E-12
LOC120101512,3.751642435,8.27E-30,3.31E-29
LOC120101513,-2.755393476,8.39E-29,3.27E-28
LOC120101514,1.501326637,0.001960767,0.003038305
LOC120101515,-1.488740076,0.001255164,0.001975462
LOC120101516,-1.729896662,1.67E-12,4.10E-12
LOC120101517,-2.448860518,0.003546931,0.005381976
LOC120101518,-2.036250157,2.15E-32,9.20E-32
LOC120101520,0.512158666,0.019564221,0.027623152
LOC120101523,-1.208548089,7.84E-08,1.59E-07
LOC120101524,4.689885278,1.89E-24,6.62E-24
LOC120101525,-0.860558512,0.020685802,0.029128886
LOC120101527,0.896271827,5.34E-18,1.58E-17
LOC120101528,0.823439128,0.025325787,0.035331419
LOC120101529,1.750605568,7.20E-13,1.79E-12
LOC120101530,5.189821223,2.44E-213,1.09E-211
LOC120101531,7.543656736,2.06E-75,2.03E-74
LOC120101532,3.779690863,1.72E-26,6.37E-26
LOC120101535,-5.585202983,3.33E-63,2.68E-62
LOC120101536,2.19786758,1.20E-06,2.29E-06
LOC120101537,1.636189626,1.60E-06,3.05E-06
LOC120101538,7.313074964,2.38E-72,2.23E-71
LOC120101544,0.771243543,1.62E-05,2.91E-05
LOC120101545,-1.399727364,8.90E-05,0.000152408
LOC120101550,-0.914204188,0.023484332,0.032880287
LOC120101554,3.58423445,5.41E-13,1.35E-12
LOC120101558,-1.434697443,0.004394878,0.00660896
LOC120101559,2.23091245,0.02391876,0.033455278
LOC120101562,0.602503965,5.35E-11,1.24E-10
LOC120101563,4.524264898,9.27E-43,5.00E-42
LOC120101564,-1.218778218,0.005554064,0.008264747
LOC120101566,3.138910811,0.001536613,0.002402831
LOC120101571,0.447592648,0.037222602,0.050936374
LOC120101572,-1.835842185,9.19E-07,1.77E-06
LOC120101573,-3.788475028,2.66E-27,1.00E-26
LOC120101574,-2.018076079,0.000171863,0.000288328
LOC120101575,-2.429320341,1.19E-07,2.39E-07
LOC120101577,-4.804653171,3.28E-29,1.29E-28
LOC120101581,1.068755912,0.004418582,0.006644268
LOC120101585,2.217219622,1.16E-11,2.78E-11
LOC120101591,1.036802489,2.60E-06,4.89E-06
LOC120101592,-1.006153687,0.002493011,0.003829547
LOC120101598,-1.67941448,2.58E-11,6.06E-11
LOC120101599,0.393618391,0.030768349,0.042497355
LOC120101602,-1.566755591,6.60E-12,1.59E-11
LOC120101609,-2.605083184,7.52E-33,3.25E-32
LOC120101610,-3.21530002,3.69E-16,1.03E-15
LOC120101612,2.122532823,1.43E-12,3.52E-12
LOC120101614,-1.834873828,4.91E-17,1.41E-16
LOC120101615,5.090252285,7.56E-63,6.05E-62
LOC120101616,1.280495265,4.74E-22,1.56E-21
LOC120101618,0.348507654,0.036505645,0.049999213
LOC120101621,2.382846163,0.034310851,0.047152516
LOC120101623,1.188267305,0.000452398,0.000736585
LOC120101624,1.184201556,1.50E-14,3.96E-14
LOC120101631,-5.823061873,1.63E-59,1.22E-58
LOC120101634,2.861164718,9.54E-10,2.10E-09
LOC120101636,-3.414669589,1.66E-18,4.98E-18
LOC120101639,4.839243743,2.24E-62,1.78E-61
LOC120101640,-0.819811821,5.34E-20,1.66E-19
LOC120101641,-0.57826528,0.000294057,0.000484915
LOC120101642,3.508278145,9.95E-13,2.46E-12
LOC120101643,1.062275006,0.000322782,0.00053113
LOC120101644,2.501780035,1.01E-25,3.65E-25
LOC120101645,3.381764478,2.62E-29,1.04E-28
LOC120101646,0.650065469,0.040541876,0.055182464
LOC120101652,0.585959844,0.037619205,0.051450537
LOC120101654,2.130731547,6.09E-48,3.67E-47
LOC120101657,2.937099217,5.14E-35,2.33E-34
LOC120101658,-1.367539717,0.004823052,0.00722091
LOC120101661,1.966481652,0.020857434,0.029352463
LOC120101663,-3.77106245,2.60E-54,1.77E-53
LOC120101664,-1.030386379,3.35E-37,1.60E-36
LOC120101665,-5.042603039,1.82E-51,1.17E-50
LOC120101667,-1.025527977,0.017474595,0.024805356
LOC120101669,-0.426077828,0.00471327,0.007063339
LOC120101671,1.978143637,1.27E-05,2.30E-05
LOC120101674,-2.342201968,0.000170632,0.000286362
LOC120101677,-1.383322987,1.51E-06,2.87E-06
LOC120101678,-7.169756606,1.24E-169,3.75E-168
LOC120101680,-2.472388834,1.03E-22,3.47E-22
LOC120101685,-4.237534269,1.56E-45,8.93E-45
LOC120101698,-3.720857211,3.34E-17,9.64E-17
LOC120101699,-2.906852197,1.41E-11,3.34E-11
LOC120101704,-2.48821578,4.47E-14,1.17E-13
Slc2a4rg,1.110924877,2.14E-10,4.85E-10
LOC120101717,-1.80876373,6.85E-11,1.58E-10
LOC120101723,2.219085791,0.0036786,0.005572335
LOC120101738,-1.691990078,0.014445168,0.02067169
